ConditionID,DecisionGrade,ZeroWindow,TimeSinceShutoff_s,CResidual,RResidual,LResidual
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,14,4425.0,9.635590715202287e-09,3.038668773047066e-15,0.07038481897932825
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,15,4725.0,2.8365184049047186e-09,2.633377923597907e-16,0.0576262158482031
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,16,5025.0,8.350775268951686e-10,2.2833805447520494e-17,0.04718035509843368
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,17,5325.0,2.4606920575996876e-10,1.992298047512645e-18,0.038628007660227205
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,18,5625.0,7.325406036915212e-11,1.8696294780831425e-19,0.031625937801559874
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,19,5925.0,2.417477804338774e-11,3.4465446472844475e-20,0.025893127873068533
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,20,6225.0,1.305699175256901e-11,2.3841525472430153e-20,0.02119950008306188
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,21,6525.0,1.1624130369461404e-11,2.3067140364946743e-20,0.01735668266788199
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,22,6825.0,1.151657973105532e-11,2.3002447761558348e-20,0.014210449871610575
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,23,7125.0,1.1535827784039448e-11,2.299778305251899e-20,0.011634532324960638
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,24,7425.0,1.1570180685166924e-11,2.2998435356224684e-20,0.009525549412125148
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,25,7725.0,1.161058670663443e-11,2.2999695663643995e-20,0.007798860243670748
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,26,8025.0,1.1656985417773336e-11,2.3001176573126605e-20,0.006385166720450485
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,27,8325.0,1.17102005107666e-11,2.3002867554941823e-20,0.005227732357562894
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,28,8625.0,1.1771193803126393e-11,2.30047914818165e-20,0.004280105249997601
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,29,8925.0,1.1841005373021193e-11,2.3006974698897012e-20,0.0035042537945835597
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,30,9225.0,1.1920578271163817e-11,2.3009438822253787e-20,0.0028690403482157733
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,31,9525.0,1.2009601378408274e-11,2.3012165153801705e-20,0.0023489715649058153
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,32,9825.0,1.2111304711583276e-11,2.3015240958076087e-20,0.0019231752582941038
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,33,10125.0,1.2225645490037154e-11,2.3018650129197326e-20,0.0015745627275240738
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,34,10425.0,1.2354236173066124e-11,2.30224233480715e-20,0.0012891429276743061
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,35,10725.0,1.2497757036077358e-11,2.3026559869748367e-20,0.0010554609599999392
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,36,11025.0,1.2655862226801653e-11,2.3031027051601757e-20,0.0008641383466251599
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,37,11325.0,1.2829380672351921e-11,2.3035823625261194e-20,0.0007074966392959792
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,38,11625.0,1.3020811262977572e-11,2.304098925190117e-20,0.0005792492562909383
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,39,11925.0,1.3230047910472621e-11,2.3046487486171537e-20,0.00047424917982294087
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,40,12225.0,1.3454958670623544e-11,2.3052229515994354e-20,0.00038828238814305166
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,1,525.0,0.06877591130459922,0.1414668526146787,0.9203230988208077
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,2,825.0,0.01804897078506151,0.011315248615222,0.7656988223222968
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,3,1125.0,0.004721775071724109,0.0007825408169618364,0.6277952772820764
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,4,1425.0,0.0012360576456555811,5.361730473727055e-05,0.5140567913851453
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,5,1725.0,0.00032376408575324146,3.6768157937354466e-06,0.42087832015712656
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,6,2025.0,8.483255844909143e-05,2.523580110090912e-07,0.34458631333458983
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,7,2325.0,2.2231639797735127e-05,1.7328907612814516e-08,0.2821234316812907
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,8,2625.0,5.8266503273434434e-06,1.190236875489166e-09,0.2309831310456767
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,9,2925.0,1.527165582718659e-06,8.176190810549788e-11,0.18911299292305364
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,10,3225.0,4.002795290097285e-07,5.616903609117785e-12,0.1548326231191608
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,11,3525.0,1.049169810490439e-07,3.8588457979753515e-13,0.12676623012783217
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,12,3825.0,2.7499881669611696e-08,2.651096162283703e-14,0.10378741105744718
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,13,4125.0,7.20804040755662e-09,1.8213785637619947e-15,0.08497394521507987
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,14,4425.0,1.889314672039222e-09,1.251465452789114e-16,0.06957078215794966
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,15,4725.0,4.952129100737185e-10,8.610969823833152e-18,0.05695973886840236
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,16,5025.0,1.2980215210216589e-10,6.048408688236601e-19,0.04663468989885225
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,17,5325.0,3.4026427653410603e-11,5.725073424199412e-20,0.03818125478044546
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,18,5625.0,8.929593579040723e-12,2.4086068088099967e-20,0.03126016747985641
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,19,5925.0,2.391268405480242e-12,2.2388050273252098e-20,0.025593660462126678
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,20,6225.0,7.721111604903662e-13,2.225255796710482e-20,0.02095431690417914
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,21,6525.0,5.250826051011112e-13,2.2264847062653513e-20,0.017155943659193273
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,22,6825.0,4.796649230178589e-13,2.2249620382587765e-20,0.014046098671854737
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,23,7125.0,4.984126429856705e-13,2.2263199112132728e-20,0.011499972943415267
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,24,7425.0,4.847621843181104e-13,2.2254200773677973e-20,0.009415381508338799
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,25,7725.0,4.990580128683936e-13,2.2263705369319502e-20,0.007708662392838729
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,26,8025.0,4.915097810889713e-13,2.225869324880287e-20,0.0063113189661127694
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,27,8325.0,5.020205961576874e-13,2.2265670816677512e-20,0.005167270930040858
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,28,8625.0,4.987916747832878e-13,2.2263529040031215e-20,0.004230603619910315
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,29,8925.0,5.07193614401393e-13,2.2269098659427815e-20,0.0034637252877036083
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,30,9225.0,5.072290621561873e-13,2.2269122146548883e-20,0.0028358584132568243
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,31,9525.0,5.147241094380719e-13,2.2274080127820944e-20,0.0023218044943082903
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,32,9825.0,5.173731820942159e-13,2.2275829902436928e-20,0.0019009327421248695
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,33,10125.0,5.248164014383803e-13,2.2280738375450977e-20,0.0015563520955104875
